SIDE,INSTRUMENT_ID,PRICE,QUANTITY,TIMESTAMP,COUNTERPARTY_ID,TRADE_ID,TRADE_STATUS,TRADE_DATE,TRADE_DATETIME,ENTERED_BY
SELL,LSEG,8541,20,6.89E+18,1,G1,NEW,2021-01-17,2021-01-17 09:00:00.000 +0000,JohnDoe
SELL,LLOY,44.06,310,6.89E+18,1,G2,NEW,2021-01-17,2021-01-17 10:00:00.000 +0000,JohnDoe
SELL,LSEG,8839.34,10,6.89E+18,1,G3,NEW,2021-01-17,2021-01-17 11:00:00.000 +0000,JohnDoe
SELL,BP,561.24,30,6.89E+18,1,G4,NEW,2021-01-17,2021-01-17 12:00:00.000 +0000,JohnDoe
BUY,VOD,10.78,240,6.89E+18,1,G5,NEW,2021-01-17,2021-01-17 13:00:00.000 +0000,JohnDoe
SELL,LLOY,45.1,100,6.89E+18,1,G6,NEW,2021-01-17,2021-01-17 14:00:00.000 +0000,JohnDoe
SELL,LLOY,40.76,480,6.89E+18,1,G7,NEW,2021-01-17,2021-01-17 15:00:00.000 +0000,JohnDoe
SELL,LSEG,8899.5,10,6.89E+18,1,G8,NEW,2021-01-17,2021-01-17 16:00:00.000 +0000,JohnDoe
SELL,LSEG,8368.5,20,6.89E+18,1,G9,NEW,2021-01-17,2021-01-17 17:00:00.000 +0000,JohnDoe
BUY,LSEG,7768.04,10,6.89E+18,1,G10,NEW,2021-01-17,2021-01-17 18:00:00.000 +0000,JohnDoe
BUY,VOD,8.96,1690,6.89E+18,1,G11,NEW,2021-01-18,2021-01-18 09:00:00.000 +0000,JohnDoe
SELL,BP,507.03,50,6.89E+18,1,G12,NEW,2021-01-18,2021-01-18 10:00:00.000 +0000,JohnDoe
BUY,LSEG,8058.39,20,6.89E+18,1,G13,NEW,2021-01-18,2021-01-18 11:00:00.000 +0000,JohnDoe
SELL,LSEG,7724.81,20,6.89E+18,1,G14,NEW,2021-01-18,2021-01-18 12:00:00.000 +0000,JohnDoe
SELL,VOD,9.87,1240,6.89E+18,1,G15,NEW,2021-01-18,2021-01-18 13:00:00.000 +0000,JohnDoe
BUY,LSEG,8407.69,10,6.89E+18,1,G16,NEW,2021-01-18,2021-01-18 14:00:00.000 +0000,JohnDoe
BUY,VOD,10.08,140,6.89E+18,1,G17,NEW,2021-01-18,2021-01-18 15:00:00.000 +0000,JohnDoe
BUY,LSEG,8852.22,10,6.89E+18,1,G18,NEW,2021-01-18,2021-01-18 16:00:00.000 +0000,JohnDoe
BUY,BP,515.11,20,6.89E+18,1,G19,NEW,2021-01-18,2021-01-18 17:00:00.000 +0000,JohnDoe
SELL,LLOY,45.74,340,6.89E+18,1,G20,NEW,2021-01-19,2021-01-19 09:00:00.000 +0000,JohnDoe
BUY,BP,482.98,50,6.89E+18,1,G21,NEW,2021-01-19,2021-01-19 10:00:00.000 +0000,JohnDoe
BUY,LLOY,39.35,1680,6.89E+18,1,G22,NEW,2021-01-19,2021-01-19 11:00:00.000 +0000,JohnDoe
SELL,BP,523.78,70,6.89E+18,1,G23,NEW,2021-01-19,2021-01-19 12:00:00.000 +0000,JohnDoe
BUY,BP,493.94,70,6.89E+18,1,G24,NEW,2021-01-19,2021-01-19 13:00:00.000 +0000,JohnDoe
SELL,LLOY,42.86,1510,6.89E+18,1,G25,NEW,2021-01-19,2021-01-19 14:00:00.000 +0000,JohnDoe
BUY,BP,506.9,50,6.89E+18,1,G26,NEW,2021-01-19,2021-01-19 15:00:00.000 +0000,JohnDoe
SELL,LSEG,8297.29,20,6.89E+18,1,G27,NEW,2021-01-19,2021-01-19 16:00:00.000 +0000,JohnDoe
SELL,VOD,9.02,1320,6.89E+18,1,G28,NEW,2021-01-19,2021-01-19 17:00:00.000 +0000,JohnDoe
SELL,LLOY,44.55,1270,6.89E+18,1,G29,NEW,2021-01-20,2021-01-20 09:00:00.000 +0000,JohnDoe
SELL,BP,511.93,100,6.89E+18,1,G30,NEW,2021-01-20,2021-01-20 10:00:00.000 +0000,JohnDoe
BUY,LSEG,8279.26,20,6.89E+18,1,G31,NEW,2021-01-20,2021-01-20 11:00:00.000 +0000,JohnDoe
SELL,BP,530.31,50,6.89E+18,1,G32,NEW,2021-01-20,2021-01-20 12:00:00.000 +0000,JohnDoe
SELL,BP,541.44,60,6.89E+18,1,G33,NEW,2021-01-20,2021-01-20 13:00:00.000 +0000,JohnDoe
BUY,LLOY,38.26,640,6.89E+18,1,G34,NEW,2021-01-20,2021-01-20 14:00:00.000 +0000,JohnDoe
BUY,BP,481.26,70,6.89E+18,1,G35,NEW,2021-01-20,2021-01-20 15:00:00.000 +0000,JohnDoe
SELL,VOD,9.61,530,6.89E+18,1,G36,NEW,2021-01-20,2021-01-20 16:00:00.000 +0000,JohnDoe
SELL,BP,473.19,40,6.89E+18,1,G37,NEW,2021-01-20,2021-01-20 17:00:00.000 +0000,JohnDoe
SELL,LLOY,45.83,480,6.89E+18,1,G38,NEW,2021-01-21,2021-01-21 09:00:00.000 +0000,JohnDoe
SELL,LLOY,42.63,820,6.89E+18,1,G39,NEW,2021-01-21,2021-01-21 10:00:00.000 +0000,JohnDoe
